Instance BKS Opt
u/BPPC_2_0_3 102 1
u/BPPC_2_0_4 100 1
u/BPPC_2_0_5 101 1
u/BPPC_2_0_6 101 1
u/BPPC_2_0_7 102 1
u/BPPC_2_0_8 103 1
u/BPPC_2_0_9 105 1
u/BPPC_2_0_10 101 1
u/BPPC_2_1_1 99 1
u/BPPC_2_1_2 100 1
u/BPPC_2_1_3 102 1
u/BPPC_2_1_4 100 1
u/BPPC_2_1_5 101 1
u/BPPC_2_1_6 101 1
u/BPPC_2_1_7 102 1
u/BPPC_2_1_8 103 1
u/BPPC_2_1_9 105 1
u/BPPC_2_1_10 101 1
u/BPPC_2_2_1 99 1
u/BPPC_2_2_2 100 1
u/BPPC_2_2_3 102 1
u/BPPC_2_2_4 100 1
u/BPPC_2_2_5 101 1
u/BPPC_2_2_6 101 1
u/BPPC_2_2_7 102 1
u/BPPC_2_2_8 103 1
u/BPPC_2_2_9 105 1
u/BPPC_2_2_10 101 1
u/BPPC_2_3_1 99 1
u/BPPC_2_3_2 100 1
u/BPPC_2_3_3 102 1
u/BPPC_2_3_4 100 1
u/BPPC_2_3_5 101 1
u/BPPC_2_3_6 101 1
u/BPPC_2_3_7 102 1
u/BPPC_2_3_8 103 1
u/BPPC_2_3_9 105 1
u/BPPC_2_3_10 101 1
u/BPPC_2_4_1 99 1
u/BPPC_2_4_2 106 1
u/BPPC_2_4_3 102 1
u/BPPC_2_4_4 103 1
u/BPPC_2_4_5 102 1
u/BPPC_2_4_6 109 1
u/BPPC_2_4_7 103 1
u/BPPC_2_4_8 104 1
u/BPPC_2_4_9 116 1
u/BPPC_2_4_10 104 1
u/BPPC_2_5_1 111 1
u/BPPC_2_5_2 131 1
u/BPPC_2_5_3 118 1
u/BPPC_2_5_4 132 1
u/BPPC_2_5_5 127 1
u/BPPC_2_5_6 129 1
u/BPPC_2_5_7 126 1
u/BPPC_2_5_8 115 1
u/BPPC_2_5_9 143 1
u/BPPC_2_5_10 128 1
u/BPPC_2_6_1 146 1
u/BPPC_2_6_2 157 1
u/BPPC_2_6_3 149 1
u/BPPC_2_6_4 158 1
u/BPPC_2_6_5 152 1
u/BPPC_2_6_6 153 1
u/BPPC_2_6_7 147 1
u/BPPC_2_6_8 139 1
u/BPPC_2_6_9 166 1
u/BPPC_2_6_10 155 1
u/BPPC_2_7_1 175 1
u/BPPC_2_7_2 180 1
u/BPPC_2_7_3 174 1
u/BPPC_2_7_4 180 1
u/BPPC_2_7_5 181 1
u/BPPC_2_7_6 176 1
u/BPPC_2_7_7 169 1
u/BPPC_2_7_8 164 1
u/BPPC_2_7_9 187 1
u/BPPC_2_7_10 183 1
u/BPPC_2_8_1 197 1
u/BPPC_2_8_2 208 1
u/BPPC_2_8_3 205 1
u/BPPC_2_8_4 210 1
u/BPPC_2_8_5 205 1
u/BPPC_2_8_6 202 1
u/BPPC_2_8_7 192 1
u/BPPC_2_8_8 191 1
u/BPPC_2_8_9 209 1
u/BPPC_2_8_10 207 1
u/BPPC_2_9_1 218 1
u/BPPC_2_9_2 225 1
u/BPPC_2_9_3 226 1
u/BPPC_2_9_4 229 1
u/BPPC_2_9_5 233 1
u/BPPC_2_9_6 229 1
u/BPPC_2_9_7 226 1
u/BPPC_2_9_8 221 1
u/BPPC_2_9_9 234 1
u/BPPC_2_9_10 227 1
u/BPPC_3_0_1 198 1
u/BPPC_3_0_2 201 1
u/BPPC_3_0_3 202 1
u/BPPC_3_0_4 204 1
u/BPPC_3_0_5 206 1
u/BPPC_3_0_6 206 1
u/BPPC_3_0_7 207 1
u/BPPC_3_0_8 204 1
u/BPPC_3_0_9 196 1
u/BPPC_3_0_10 202 1
u/BPPC_3_1_1 198 1
u/BPPC_3_1_2 201 1
u/BPPC_3_1_3 202 1
u/BPPC_3_1_4 204 1
u/BPPC_3_1_5 206 1
u/BPPC_3_1_6 206 1
u/BPPC_3_1_7 207 1
u/BPPC_3_1_8 204 1
u/BPPC_3_1_9 196 1
u/BPPC_3_1_10 202 1
u/BPPC_3_2_1 198 1
u/BPPC_3_2_2 201 1
u/BPPC_3_2_3 202 1
u/BPPC_3_2_4 204 1
u/BPPC_3_2_5 206 1
u/BPPC_3_2_6 206 1
u/BPPC_3_2_7 207 1
u/BPPC_3_2_8 204 1
u/BPPC_3_2_9 196 1
u/BPPC_3_2_10 202 1
u/BPPC_3_3_1 198 1
u/BPPC_3_3_2 201 1
u/BPPC_3_3_3 202 1
u/BPPC_3_3_4 204 1
u/BPPC_3_3_5 206 1
u/BPPC_3_3_6 206 1
u/BPPC_3_3_7 207 1
u/BPPC_3_3_8 204 1
u/BPPC_3_3_9 196 1
u/BPPC_3_3_10 202 1
u/BPPC_3_4_1 216 1
u/BPPC_3_4_2 209 1
u/BPPC_3_4_3 218 1
u/BPPC_3_4_4 204 1
u/BPPC_3_4_5 206 1
u/BPPC_3_4_6 215 1
u/BPPC_3_4_7 208 1
u/BPPC_3_4_8 205 1
u/BPPC_3_4_9 196 1
u/BPPC_3_4_10 212 1
u/BPPC_3_5_1 257 1
u/BPPC_3_5_2 253 1
u/BPPC_3_5_3 260 1
u/BPPC_3_5_4 246 1
u/BPPC_3_5_5 241 1
u/BPPC_3_5_6 268 1
u/BPPC_3_5_7 253 1
u/BPPC_3_5_8 241 1
u/BPPC_3_5_9 241 1
u/BPPC_3_5_10 262 1
u/BPPC_3_6_1 301 1
u/BPPC_3_6_2 305 1
u/BPPC_3_6_3 312 1
u/BPPC_3_6_4 307 1
u/BPPC_3_6_5 293 1
u/BPPC_3_6_6 311 1
u/BPPC_3_6_7 310 1
u/BPPC_3_6_8 294 1
u/BPPC_3_6_9 298 1
u/BPPC_3_6_10 310 1
u/BPPC_3_7_1 342 1
u/BPPC_3_7_2 360 1
u/BPPC_3_7_3 352 1
u/BPPC_3_7_4 356 1
u/BPPC_3_7_5 343 1
u/BPPC_3_7_6 356 1
u/BPPC_3_7_7 355 1
u/BPPC_3_7_8 339 1
u/BPPC_3_7_9 337 1
u/BPPC_3_7_10 360 1
u/BPPC_3_8_1 389 1
u/BPPC_3_8_2 406 1
u/BPPC_3_8_3 400 1
u/BPPC_3_8_4 402 1
u/BPPC_3_8_5 396 1
u/BPPC_3_8_6 403 1
u/BPPC_3_8_7 409 1
u/BPPC_3_8_8 392 1
u/BPPC_3_8_9 393 1
u/BPPC_3_8_10 399 1
u/BPPC_3_9_1 443 1
u/BPPC_3_9_2 459 1
u/BPPC_3_9_3 450 1
u/BPPC_3_9_4 452 1
u/BPPC_3_9_5 444 1
u/BPPC_3_9_6 467 1
u/BPPC_3_9_7 456 1
u/BPPC_3_9_8 450 1
u/BPPC_3_9_9 454 1
u/BPPC_3_9_10 449 1
u/BPPC_4_0_1 399 1
u/BPPC_4_0_2 406 1
u/BPPC_4_0_3 411 1
u/BPPC_4_0_4 411 1
u/BPPC_4_0_5 397 1
u/BPPC_4_0_6 399 1
u/BPPC_4_0_7 395 1
u/BPPC_4_0_8 404 1
u/BPPC_4_0_9 399 1
u/BPPC_4_0_10 397 1
u/BPPC_4_1_1 399 1
u/BPPC_4_1_2 406 1
u/BPPC_4_1_3 411 1
u/BPPC_4_1_4 411 1
u/BPPC_4_1_5 397 1
u/BPPC_4_1_6 399 1
u/BPPC_4_1_7 395 1
u/BPPC_4_1_8 404 1
u/BPPC_4_1_9 399 1
u/BPPC_4_1_10 397 1
u/BPPC_4_2_1 399 1
u/BPPC_4_2_2 406 1
u/BPPC_4_2_3 411 1
u/BPPC_4_2_4 411 1
u/BPPC_4_2_5 397 1
u/BPPC_4_2_6 399 1
u/BPPC_4_2_7 395 1
u/BPPC_4_2_8 404 1
u/BPPC_4_2_9 399 1
u/BPPC_4_2_10 397 1
u/BPPC_4_3_1 399 1
u/BPPC_4_3_2 406 1
u/BPPC_4_3_3 411 1
u/BPPC_4_3_4 411 1
u/BPPC_4_3_5 397 1
u/BPPC_4_3_6 399 1
u/BPPC_4_3_7 395 1
u/BPPC_4_3_8 404 1
u/BPPC_4_3_9 399 1
u/BPPC_4_3_10 397 1
u/BPPC_4_4_1 420 1
u/BPPC_4_4_2 406 1
u/BPPC_4_4_3 412 1
u/BPPC_4_4_4 415 1
u/BPPC_4_4_5 408 1
u/BPPC_4_4_6 399 1
u/BPPC_4_4_7 413 1
u/BPPC_4_4_8 404 1
u/BPPC_4_4_9 422 1
u/BPPC_4_4_10 397 1
u/BPPC_4_5_1 527 1
u/BPPC_4_5_2 485 1
u/BPPC_4_5_3 511 1
u/BPPC_4_5_4 514 1
u/BPPC_4_5_5 510 1
u/BPPC_4_5_6 485 1
u/BPPC_4_5_7 507 1
u/BPPC_4_5_8 502 1
u/BPPC_4_5_9 508 1
u/BPPC_4_5_10 498 1
u/BPPC_4_6_1 633 1
u/BPPC_4_6_2 578 1
u/BPPC_4_6_3 605 1
u/BPPC_4_6_4 612 1
u/BPPC_4_6_5 604 1
u/BPPC_4_6_6 581 1
u/BPPC_4_6_7 614 1
u/BPPC_4_6_8 617 1
u/BPPC_4_6_9 626 1
u/BPPC_4_6_10 601 1
u/BPPC_4_7_1 728 1
u/BPPC_4_7_2 680 1
u/BPPC_4_7_3 713 1
u/BPPC_4_7_4 703 1
u/BPPC_4_7_5 696 1
u/BPPC_4_7_6 694 1
u/BPPC_4_7_7 704 1
u/BPPC_4_7_8 712 1
u/BPPC_4_7_9 732 1
u/BPPC_4_7_10 711 1
u/BPPC_4_8_1 819 1
u/BPPC_4_8_2 790 1
u/BPPC_4_8_3 810 1
u/BPPC_4_8_4 804 1
u/BPPC_4_8_5 796 1
u/BPPC_4_8_6 809 1
u/BPPC_4_8_7 804 1
u/BPPC_4_8_8 810 1
u/BPPC_4_8_9 819 1
u/BPPC_4_8_10 810 1
u/BPPC_4_9_1 916 1
u/BPPC_4_9_2 897 1
u/BPPC_4_9_3 902 1
u/BPPC_4_9_4 895 1
u/BPPC_4_9_5 909 1
u/BPPC_4_9_6 907 1
u/BPPC_4_9_7 897 1
u/BPPC_4_9_8 903 1
u/BPPC_4_9_9 920 1
u/BPPC_4_9_10 911 1
t/BPPC_5_0_1 20 1
t/BPPC_5_0_2 20 1
t/BPPC_5_0_3 20 1
t/BPPC_5_0_4 20 1
t/BPPC_5_0_5 20 1
t/BPPC_5_0_6 20 1
t/BPPC_5_0_7 20 1
t/BPPC_5_0_8 20 1
t/BPPC_5_0_9 20 1
t/BPPC_5_0_10 20 1
t/BPPC_5_1_1 20 1
t/BPPC_5_1_2 20 1
t/BPPC_5_1_3 20 1
t/BPPC_5_1_4 20 1
t/BPPC_5_1_5 20 1
t/BPPC_5_1_6 20 1
t/BPPC_5_1_7 20 1
t/BPPC_5_1_8 20 1
t/BPPC_5_1_9 21 1
t/BPPC_5_1_10 21 1
t/BPPC_5_2_1 21 1
t/BPPC_5_2_2 21 1
t/BPPC_5_2_3 21 1
t/BPPC_5_2_4 21 1
t/BPPC_5_2_5 20 1
t/BPPC_5_2_6 21 1
t/BPPC_5_2_7 21 1
t/BPPC_5_2_8 21 1
t/BPPC_5_2_9 21 1
t/BPPC_5_2_10 21 1
t/BPPC_5_3_1 21 1
t/BPPC_5_3_2 23 1
t/BPPC_5_3_3 21 1
t/BPPC_5_3_4 21 1
t/BPPC_5_3_5 21 1
t/BPPC_5_3_6 25 1
t/BPPC_5_3_7 21 1
t/BPPC_5_3_8 21 1
t/BPPC_5_3_9 22 1
t/BPPC_5_3_10 21 1
t/BPPC_5_4_1 21 1
t/BPPC_5_4_2 30 1
t/BPPC_5_4_3 23 1
t/BPPC_5_4_4 23 1
t/BPPC_5_4_5 21 1
t/BPPC_5_4_6 32 1
t/BPPC_5_4_7 22 1
t/BPPC_5_4_8 27 1
t/BPPC_5_4_9 24 1
t/BPPC_5_4_10 25 1
t/BPPC_5_5_1 26 1
t/BPPC_5_5_2 36 1
t/BPPC_5_5_3 27 1
t/BPPC_5_5_4 27 1
t/BPPC_5_5_5 29 1
t/BPPC_5_5_6 40 1
t/BPPC_5_5_7 27 1
t/BPPC_5_5_8 35 1
t/BPPC_5_5_9 28 1
t/BPPC_5_5_10 32 1
t/BPPC_5_6_1 33 1
t/BPPC_5_6_2 39 1
t/BPPC_5_6_3 32 1
t/BPPC_5_6_4 34 1
t/BPPC_5_6_5 35 1
t/BPPC_5_6_6 43 1
t/BPPC_5_6_7 34 1
t/BPPC_5_6_8 40 1
t/BPPC_5_6_9 34 1
t/BPPC_5_6_10 39 1
t/BPPC_5_7_1 41 1
t/BPPC_5_7_2 44 1
t/BPPC_5_7_3 41 1
t/BPPC_5_7_4 40 1
t/BPPC_5_7_5 40 1
t/BPPC_5_7_6 47 1
t/BPPC_5_7_7 43 1
t/BPPC_5_7_8 45 1
t/BPPC_5_7_9 41 1
t/BPPC_5_7_10 44 1
t/BPPC_5_8_1 45 1
t/BPPC_5_8_2 51 1
t/BPPC_5_8_3 48 1
t/BPPC_5_8_4 46 1
t/BPPC_5_8_5 46 1
t/BPPC_5_8_6 52 1
t/BPPC_5_8_7 49 1
t/BPPC_5_8_8 53 1
t/BPPC_5_8_9 49 1
t/BPPC_5_8_10 51 1
t/BPPC_5_9_1 50 1
t/BPPC_5_9_2 56 1
t/BPPC_5_9_3 54 1
t/BPPC_5_9_4 54 1
t/BPPC_5_9_5 52 1
t/BPPC_5_9_6 56 1
t/BPPC_5_9_7 54 1
t/BPPC_5_9_8 57 1
t/BPPC_5_9_9 55 1
t/BPPC_5_9_10 56 1
t/BPPC_6_0_1 40 1
t/BPPC_6_0_2 40 1
t/BPPC_6_0_3 40 1
t/BPPC_6_0_4 40 1
t/BPPC_6_0_5 40 1
t/BPPC_6_0_6 40 1
t/BPPC_6_0_7 40 1
t/BPPC_6_0_8 40 1
t/BPPC_6_0_9 40 1
t/BPPC_6_0_10 40 1
t/BPPC_6_1_1 40 1
t/BPPC_6_1_2 40 1
t/BPPC_6_1_3 40 1
t/BPPC_6_1_4 40 1
t/BPPC_6_1_5 40 1
t/BPPC_6_1_6 40 1
t/BPPC_6_1_7 40 1
t/BPPC_6_1_8 40 1
t/BPPC_6_1_9 40 1
t/BPPC_6_1_10 40 1
t/BPPC_6_2_1 40 1
t/BPPC_6_2_2 40 1
t/BPPC_6_2_3 40 1
t/BPPC_6_2_4 40 1
t/BPPC_6_2_5 40 1
t/BPPC_6_2_6 40 1
t/BPPC_6_2_7 40 1
t/BPPC_6_2_8 40 1
t/BPPC_6_2_9 40 1
t/BPPC_6_2_10 40 1
t/BPPC_6_3_1 43 1
t/BPPC_6_3_2 41 1
t/BPPC_6_3_3 41 1
t/BPPC_6_3_4 41 1
t/BPPC_6_3_5 40 1
t/BPPC_6_3_6 41 1
t/BPPC_6_3_7 41 1
t/BPPC_6_3_8 41 1
t/BPPC_6_3_9 40 1
t/BPPC_6_3_10 40 1
t/BPPC_6_4_1 53 1
t/BPPC_6_4_2 51 1
t/BPPC_6_4_3 48 1
t/BPPC_6_4_4 51 1
t/BPPC_6_4_5 45 1
t/BPPC_6_4_6 44 1
t/BPPC_6_4_7 50 1
t/BPPC_6_4_8 48 1
t/BPPC_6_4_9 50 1
t/BPPC_6_4_10 43 1
t/BPPC_6_5_1 64 1
t/BPPC_6_5_2 65 1
t/BPPC_6_5_3 64 1
t/BPPC_6_5_4 59 1
t/BPPC_6_5_5 59 1
t/BPPC_6_5_6 58 1
t/BPPC_6_5_7 64 1
t/BPPC_6_5_8 58 1
t/BPPC_6_5_9 63 1
t/BPPC_6_5_10 55 1
t/BPPC_6_6_1 74 1
t/BPPC_6_6_2 73 1
t/BPPC_6_6_3 80 1
t/BPPC_6_6_4 73 1
t/BPPC_6_6_5 73 1
t/BPPC_6_6_6 73 1
t/BPPC_6_6_7 74 1
t/BPPC_6_6_8 76 1
t/BPPC_6_6_9 77 1
t/BPPC_6_6_10 71 1
t/BPPC_6_7_1 83 1
t/BPPC_6_7_2 82 1
t/BPPC_6_7_3 90 1
t/BPPC_6_7_4 83 1
t/BPPC_6_7_5 84 1
t/BPPC_6_7_6 85 1
t/BPPC_6_7_7 90 1
t/BPPC_6_7_8 83 1
t/BPPC_6_7_9 87 1
t/BPPC_6_7_10 82 1
t/BPPC_6_8_1 96 1
t/BPPC_6_8_2 95 1
t/BPPC_6_8_3 102 1
t/BPPC_6_8_4 94 1
t/BPPC_6_8_5 97 1
t/BPPC_6_8_6 95 1
t/BPPC_6_8_7 102 1
t/BPPC_6_8_8 93 1
t/BPPC_6_8_9 97 1
t/BPPC_6_8_10 95 1
t/BPPC_6_9_1 105 1
t/BPPC_6_9_2 109 1
t/BPPC_6_9_3 110 1
t/BPPC_6_9_4 110 1
t/BPPC_6_9_5 109 1
t/BPPC_6_9_6 111 1
t/BPPC_6_9_7 111 1
t/BPPC_6_9_8 109 1
t/BPPC_6_9_9 108 1
t/BPPC_6_9_10 108 1
t/BPPC_7_0_1 83 1
t/BPPC_7_0_2 83 1
t/BPPC_7_0_3 83 1
t/BPPC_7_0_4 83 1
t/BPPC_7_0_5 83 1
t/BPPC_7_0_6 83 1
t/BPPC_7_0_7 83 1
t/BPPC_7_0_8 83 1
t/BPPC_7_0_9 83 1
t/BPPC_7_0_10 83 1
t/BPPC_7_1_1 83 1
t/BPPC_7_1_2 83 1
t/BPPC_7_1_3 83 1
t/BPPC_7_1_4 83 1
t/BPPC_7_1_5 83 1
t/BPPC_7_1_6 83 1
t/BPPC_7_1_7 83 1
t/BPPC_7_1_8 83 1
t/BPPC_7_1_9 83 1
t/BPPC_7_1_10 83 1
t/BPPC_7_2_1 83 1
t/BPPC_7_2_2 83 1
t/BPPC_7_2_3 83 1
t/BPPC_7_2_4 83 1
t/BPPC_7_2_5 83 1
t/BPPC_7_2_6 83 1
t/BPPC_7_2_7 83 1
t/BPPC_7_2_8 83 1
t/BPPC_7_2_9 83 1
t/BPPC_7_2_10 83 1
t/BPPC_7_3_1 84 1
t/BPPC_7_3_2 83 1
t/BPPC_7_3_3 83 1
t/BPPC_7_3_4 83 1
t/BPPC_7_3_5 83 1
t/BPPC_7_3_6 83 1
t/BPPC_7_3_7 83 1
t/BPPC_7_3_8 83 1
t/BPPC_7_3_9 83 1
t/BPPC_7_3_10 84 1
t/BPPC_7_4_1 112 1
t/BPPC_7_4_2 99 1
t/BPPC_7_4_3 101 1
t/BPPC_7_4_4 99 1
t/BPPC_7_4_5 94 1
t/BPPC_7_4_6 98 1
t/BPPC_7_4_7 87 1
t/BPPC_7_4_8 89 1
t/BPPC_7_4_9 99 1
t/BPPC_7_4_10 106 1
t/BPPC_7_5_1 138 1
t/BPPC_7_5_2 128 1
t/BPPC_7_5_3 128 1
t/BPPC_7_5_4 121 1
t/BPPC_7_5_5 121 1
t/BPPC_7_5_6 126 1
t/BPPC_7_5_7 116 1
t/BPPC_7_5_8 114 1
t/BPPC_7_5_9 122 1
t/BPPC_7_5_10 134 1
t/BPPC_7_6_1 158 1
t/BPPC_7_6_2 149 1
t/BPPC_7_6_3 152 1
t/BPPC_7_6_4 146 1
t/BPPC_7_6_5 150 1
t/BPPC_7_6_6 149 1
t/BPPC_7_6_7 152 1
t/BPPC_7_6_8 138 1
t/BPPC_7_6_9 155 1
t/BPPC_7_6_10 152 1
t/BPPC_7_7_1 178 1
t/BPPC_7_7_2 168 1
t/BPPC_7_7_3 187 1
t/BPPC_7_7_4 169 1
t/BPPC_7_7_5 173 1
t/BPPC_7_7_6 173 1
t/BPPC_7_7_7 173 1
t/BPPC_7_7_8 178 1
t/BPPC_7_7_9 173 1
t/BPPC_7_7_10 175 1
t/BPPC_7_8_1 198 1
t/BPPC_7_8_2 193 1
t/BPPC_7_8_3 212 1
t/BPPC_7_8_4 195 1
t/BPPC_7_8_5 202 1
t/BPPC_7_8_6 200 1
t/BPPC_7_8_7 203 1
t/BPPC_7_8_8 197 1
t/BPPC_7_8_9 200 1
t/BPPC_7_8_10 202 1
t/BPPC_7_9_1 221 1
t/BPPC_7_9_2 224 1
t/BPPC_7_9_3 231 1
t/BPPC_7_9_4 227 1
t/BPPC_7_9_5 219 1
t/BPPC_7_9_6 228 1
t/BPPC_7_9_7 224 1
t/BPPC_7_9_8 223 1
t/BPPC_7_9_9 228 1
t/BPPC_7_9_10 226 1
t/BPPC_8_0_1 167 1
t/BPPC_8_0_2 167 1
t/BPPC_8_0_3 167 1
t/BPPC_8_0_4 167 1
t/BPPC_8_0_5 167 1
t/BPPC_8_0_6 167 1
t/BPPC_8_0_7 167 1
t/BPPC_8_0_8 167 1
t/BPPC_8_0_9 167 1
t/BPPC_8_0_10 167 1
t/BPPC_8_1_1 167 1
t/BPPC_8_1_2 167 1
t/BPPC_8_1_3 167 1
t/BPPC_8_1_4 167 1
t/BPPC_8_1_5 167 1
t/BPPC_8_1_6 167 1
t/BPPC_8_1_7 167 1
t/BPPC_8_1_8 167 1
t/BPPC_8_1_9 167 1
t/BPPC_8_1_10 167 1
t/BPPC_8_2_1 167 1
t/BPPC_8_2_2 167 1
t/BPPC_8_2_3 167 1
t/BPPC_8_2_4 167 1
t/BPPC_8_2_5 167 1
t/BPPC_8_2_6 167 1
t/BPPC_8_2_7 167 1
t/BPPC_8_2_8 167 1
t/BPPC_8_2_9 167 1
t/BPPC_8_2_10 167 1
t/BPPC_8_3_1 167 1
t/BPPC_8_3_2 172 1
t/BPPC_8_3_3 167 1
t/BPPC_8_3_4 167 1
t/BPPC_8_3_5 167 1
t/BPPC_8_3_6 167 1
t/BPPC_8_3_7 167 1
t/BPPC_8_3_8 167 1
t/BPPC_8_3_9 167 1
t/BPPC_8_3_10 167 1
t/BPPC_8_4_1 206 1
t/BPPC_8_4_2 228 1
t/BPPC_8_4_3 188 1
t/BPPC_8_4_4 210 1
t/BPPC_8_4_5 202 1
t/BPPC_8_4_6 210 1
t/BPPC_8_4_7 202 1
t/BPPC_8_4_8 198 1
t/BPPC_8_4_9 195 1
t/BPPC_8_4_10 210 1
t/BPPC_8_5_1 254 1
t/BPPC_8_5_2 270 1
t/BPPC_8_5_3 235 1
t/BPPC_8_5_4 250 1
t/BPPC_8_5_5 260 1
t/BPPC_8_5_6 266 1
t/BPPC_8_5_7 255 1
t/BPPC_8_5_8 260 1
t/BPPC_8_5_9 244 1
t/BPPC_8_5_10 259 1
t/BPPC_8_6_1 301 1
t/BPPC_8_6_2 312 1
t/BPPC_8_6_3 284 1
t/BPPC_8_6_4 304 1
t/BPPC_8_6_5 302 1
t/BPPC_8_6_6 314 1
t/BPPC_8_6_7 312 1
t/BPPC_8_6_8 308 1
t/BPPC_8_6_9 303 1
t/BPPC_8_6_10 313 1
t/BPPC_8_7_1 349 1
t/BPPC_8_7_2 358 1
t/BPPC_8_7_3 338 1
t/BPPC_8_7_4 355 1
t/BPPC_8_7_5 358 1
t/BPPC_8_7_6 361 1
t/BPPC_8_7_7 366 1
t/BPPC_8_7_8 361 1
t/BPPC_8_7_9 351 1
t/BPPC_8_7_10 354 1
t/BPPC_8_8_1 404 1
t/BPPC_8_8_2 413 1
t/BPPC_8_8_3 380 1
t/BPPC_8_8_4 404 1
t/BPPC_8_8_5 406 1
t/BPPC_8_8_6 403 1
t/BPPC_8_8_7 418 1
t/BPPC_8_8_8 413 1
t/BPPC_8_8_9 406 1
t/BPPC_8_8_10 406 1
t/BPPC_8_9_1 451 1
t/BPPC_8_9_2 457 1
t/BPPC_8_9_3 445 1
t/BPPC_8_9_4 452 1
t/BPPC_8_9_5 459 1
t/BPPC_8_9_6 452 1
t/BPPC_8_9_7 469 1
t/BPPC_8_9_8 457 1
t/BPPC_8_9_9 447 1
t/BPPC_8_9_10 449 1
d/BPWC_1_1_1 18 1
d/BPWC_1_1_2 18 1
d/BPWC_1_1_3 18 1
d/BPWC_1_1_4 19 1
d/BPWC_1_1_5 17 1
d/BPWC_1_1_6 19 1
d/BPWC_1_1_7 19 1
d/BPWC_1_1_8 19 1
d/BPWC_1_1_9 19 1
d/BPWC_1_1_10 18 1
d/BPWC_1_2_1 30 1
d/BPWC_1_2_2 33 1
d/BPWC_1_2_3 25 1
d/BPWC_1_2_4 23 1
d/BPWC_1_2_5 18 1
d/BPWC_1_2_6 25 1
d/BPWC_1_2_7 27 1
d/BPWC_1_2_8 19 1
d/BPWC_1_2_9 26 1
d/BPWC_1_2_10 22 1
d/BPWC_1_3_1 34 1
d/BPWC_1_3_2 44 1
